id,media,leaning,date,title,short_opening,URL
C067,NYTimes,center-left,2022-03-11,President Zelensky Makes His Case for Ukraine to the Russian People,Americans are used to wars against people who don’t so casually speak our language. Zelensky can respond to Russian propaganda by directly addressing the Russian people — in Russian.,
C068,NYTimes,center-left,2022-12-21,Zelensky’s Message: Ukraine Is Fighting for Good Over Evil,One of the Ukrainian leader’s overriding aims is to prevent support for the war from becoming a partisan issue.,
C069,NYTimes,center-left,2025-04-28,Trump Talks About His Meeting With Zelensky at the Vatican,"President Trump spoke about his meeting with Ukraine’s leader in St. Peter’s Basilica, their first since a heated encounter in the Oval Office in February.",
C070,NYTimes,center-left,2022-03-15,Zelensky’s appeal to Canada: Imagine if Toronto were Kyiv.,The Ukrainian president’s emotional speech to Canadian lawmakers underscored how he has increasingly cast himself as a spokesman for liberal democracy.,
C071,NYTimes,center-left,2023-04-22,Zelensky Signs Ban on Russian Place Names in Struggle Over National Identity,The action late Friday was the latest in a series of steps by Ukraine to distance itself from a long legacy of Russian domination.,
C072,NYTimes,center-left,2022-04-11,Zelensky says Ukraine takes ‘as seriously as possible’ an apparent threat of Russian chemical weapon use.,A Ukrainian unit in Mariupol claimed Russian forces had used chemical weapons there. Their report could not be independently confirmed.,
C073,NYTimes,center-left,2025-03-04,Late Night Recaps Zelensky’s Casual Friday at the White House,"“I don’t see you asking Elon Musk if he owns a suit,” Seth Meyers said of the reporter who questioned Ukraine’s president about his attire.",
C074,NYTimes,center-left,2024-10-29,"With Limited Options, Zelensky Seeks a Path Forward for Ukraine",A muted response to Ukraine’s “victory plan” and steep challenges on the battlefield leave Kyiv searching for a Plan B.,
C075,NYTimes,center-left,2022-03-21,"Walls, Dreams and Genocide: Zelensky’s Speeches Invoke History to Rally Support","The Ukrainian leader, a former actor, has invoked emotional moments in the history of nations from which he is hoping to secure backing. We look at five of his recent speeches.",
C076,NYTimes,center-left,2022-04-04,Volodymyr Zelensky speaks to Grammys audience in a prerecorded video.,"The Ukrainian president, Volodymyr Zelensky, made a plea for support before John Legend performed, sharing the stage with a poet and a singer from Ukraine.",
C077,NYTimes,center-left,2022-05-23,Zelensky says Russian forces killed 87 people in an attack.,"The attack took place last week in the Chernihiv region north of the capital, Kyiv.",
C078,NYTimes,center-left,2025-04-24,Thursday Briefing: Trump Lashes Out at Zelensky,"Plus, the perfect pour-over coffee.",
C079,NYTimes,center-left,2024-02-08,"Zelensky Removes His Top General, in Major Shake-Up of Ukraine Military","Gen. Valery Zaluzhny led the effort that thwarted Russia’s initial assault on Kyiv. But his troops have struggled to make progress recently, and tensions have mounted with the civilian leadership.",
C080,NYTimes,center-left,2023-06-21,Allies Pledge Billions for Ukraine’s Recovery as Zelensky Stresses Urgency,"The price tag for reconstruction has soared, driving debate among U.S. and European officials, legal experts and others about using frozen Russian assets to pay for it.",
C081,CTV,center-left,2022-02-25,Defiant Zelensky releases video with top Ukrainian officials,President Zelensky released a video as Russians moved on Kyiv ...,
C082,CTV,center-left,2020-11-09,Ukraine's Zelensky tests positive for coronavirus,President Zelensky said he tested positive but felt fine ...,
C083,CTV,center-left,2025-03-03,Vancouver Island support for Ukraine grows after Friday__ Oval Office berating of Zelensky,Local volunteer responds after Oval Office berating of Zelensky ...,
C084,CTV,center-left,2022-03-18,'Madison is wrong': GOP backlash over Cawthorn grows after Zelensky insult,GOP members push back after insults against Zelensky ...,
C085,CTV,center-left,2022-02-28,How Zelensky is changing the West's response to Russia,Zelensky and his courageous defiance influence Western response ...,
C086,CTV,center-left,2022-03-05,Zelensky 'desperate' plea to U.S. Congress: Send more planes,Ukraine's leader made a desperate plea to U.S. lawmakers ...,
C087,CTV,center-left,2025-02-22,CTV National News: Zelensky calls for more support from allies,Zelensky calls for increased support from allied nations ...,
C088,CTV,center-left,2022-03-03,Comedy series starring Zelensky gets boost in popularity,__ervant of the People_ starring Zelensky surges in popularity ...,
C089,CTV,center-left,2022-03-10,Trudeau rejects Zelensky's request for a no-fly-zone,Trudeau says he denied Zelensky__ request due to escalation fears ...,
C090,CTV,center-left,2022-03-16,Zelensky invokes Sept. 11 in appeal to U.S. Congress,Zelensky references U.S. tragedies to appeal for aid ...,
C091,CTV,center-left,2022-03-15,"As Zelensky set to speak to Parliament, here's a look at other leaders who have spoken",Ukraine__ President Zelensky scheduled to address Canada__ Parliament ...,
C092,CTV,center-left,2022-03-24,Live updates: Zelensky reassures Ukraine in nightly address,Zelensky delivers nightly address to the nation ...,
C093,CTV,center-left,2022-03-15,Ukrainians in Ottawa react to Zelensky address with mixture of pride and heartbreak,Thousands watched as President Volodymyr Zelensky made his speech ...,
