date,title,short_opening,url,label,sentiment
2022-04-09,"'Tortured' Ukraine wants peace with Russia despite atrocities, says Zelensky","Ukrainian President Volodymyr Zelensky said Saturday that he is committed to pressing for peace despite Russian attacks on civilians that have stunned the world, and he renewed his plea for countries to send more weapons ahead of an expected surge in fighting in the country's east.",https://www.cbc.ca/news/world/zelensky-russia-ukraine-war-peace-interview-1.6414774,Diplomatic Engagements,neutral
2022-04-05,"Russian troops committing worst atrocities since Second World War, Zelensky tells UN","Ukrainian President Volodymyr Zelensky_told the UN_Security Council on Tuesday that the Russian military must be brought to justice immediately for war crimes, accusing the Kremlin's troops of the worst atrocities since the Second World War.",https://www.cbc.ca/news/world/ukraine-russia-war-1.6408491,Russia-Related Rhetoric,neutral
2022-04-04,Zelensky accuses Russia of torture and 'genocide' after bodies of civilians found,"Moscow faced a new wave of revulsion and accusations of war crimes Monday after the Russian pullout from the outskirts of Kyiv revealed streets strewn with corpses of what appeared to be civilians, some seemingly killed deliberately at close range.",https://www.cbc.ca/news/world/ukraine-war-bucha-1.6407343,Russia-Related Rhetoric,neutral
2022-04-04,"Silk Sonic and Jon Batiste triumph, Zelensky appears at a classy Grammy Awards","The 64th Grammy Awards was a classy affair that awarded first-time winners and offered lively, well-produced performances _ plus a message from Ukraine's president. CBC News has the highlights.",https://www.cbc.ca/news/entertainment/grammy-highlights-2022-1.6407294,Media Representation,neutral
2022-04-03,Ukraine president Zelensky asks for help in Grammys video,Ukrainian president Volodymyr Zelensky appeared in a video message at the Grammy Awards to ask for support in telling the story of Ukraine's invasion by Russia.,https://www.cbc.ca/news/entertainment/zelenskyy-grammys-video-1.6407272,Media Representation,neutral
2022-04-02,Zelensky alleges Russian troops leaving booby traps behind as Ukraine regains area near Kyiv,"Ukrainian troops moved cautiously to retake territory north of the country's capital on Saturday, using cables to pull the bodies of civilians off the streets in one town out of fear that Russian forces might have booby-trapped them before leaving.",https://www.cbc.ca/news/world/ukraine-russia-war-april2-2022-1.6406411,Military Operations,neutral
2022-03-28,"Russian forces still attacking Kyiv as Ukraine takes back some areas, says Zelensky","Ukrainian President Volodymyr Zelensky_said late Monday that Russian forces are still attacking Kyiv, despite being driven out of Irpin, a suburb northwest of the capital that has seen heavy fighting.",https://www.cbc.ca/news/world/ukraine-russia-war-march28-1.6399653,Military Operations,neutral
2022-03-27,"Russia wants to 'create North and South Korea in Ukraine,' Ukrainian military official says",President Volodymyr Zelensky said on Sunday that_Ukraine is willing to become neutral and compromise over the status of the Donbas region as part of a peace deal.,https://www.cbc.ca/news/world/ukraine-russia-war-1.6399132,Russia-Related Rhetoric,neutral
2022-03-23,'Make yourselves visible and heard': Zelensky calls for more shows of support for Ukraine,Ukrainian President Volodymyr Zelensky_is calling_on people around the world to come out in their city squares and streets and stand with Ukraine and against the Russian invasion.,https://www.cbc.ca/news/world/ukraine-russia-invasion-1.6394208,Media Representation,neutral
2022-03-19,Ukraine's Zelensky says siege of Mariupol 'a terror that will be remembered for centuries to come',"Russian forces pushed deeper into Ukraine's besieged and battered port city of Mariupol on Saturday, where heavy fighting shut down a major steel plant and local authorities pleaded for more Western help.",https://www.cbc.ca/news/world/russia-ukraine-war-march19-1.6390927,Russia-Related Rhetoric,neutral
2022-03-15,Ukrainian President Volodymyr Zelensky addresses Parliament as Russian forces edge toward Kyiv,"Ukrainian President Volodymyr Zelensky delivered a powerful, personal appeal to Canada to do more to help his embattled country withstand the invasion by Russia.",https://www.cbc.ca/news/politics/zelensky-canadian-parliament-address-1.6385218,Diplomatic Engagements,positive
2022-03-10,Volodymyr_Zelensky to address House of Commons,Ukrainian President Volodymyr_Zelensky_has accepted an invitation to address the House of Commons just a few days after delivering an address to the British House of Commons.,https://www.cbc.ca/news/politics/volodymyr-zelensky-to-address-house-1.6380715,Media Representation,neutral
2022-03-09,"Trudeau promises surveillance gear to Ukraine, invites Zelensky to address Parliament","Prime Minister Justin Trudeau, who is visiting Germany, has told Ukraine's president that Canada is sending cameras for surveillance drones to help Ukrainian forces track the Russian military, a source with knowledge of the file says.",https://www.cbc.ca/news/politics/trudeau-germany-1.6378188,Aid Policies,neutral
2022-03-07,Zelensky describes Russian attack as 'pure Nazi behaviour' in appeal to American Jews,Ukrainian President_Volodymr Zelensky appealed to American Jews for support on_Monday with an unsparing account of Russian destruction in his_country that he compared to the Nazi German army marching across_Europe.,https://www.cbc.ca/news/world/zelensky-russia-ukraine-us-jews-nazi-germany-1.6375943,Russia-Related Rhetoric,neutral
2022-03-01,"'Prove that you are with us,' Ukraine's president says to EU","Speaking via video link to an emergency session of the European Parliament, Ukrainian President Volodymyr Zelensky urged the EU on Tuesday to ""prove that you are with us"" in Ukraine's war with Russia, a day after Kyiv officially asked to join the bloc.",https://www.cbc.ca/news/world/ukraine-european-union-russia-march1-2022-1.6368254,Russia-Related Rhetoric,neutral
2022-02-24,"As Russia attacks Ukraine on multiple fronts, some fear Zelensky's government is next target",Ukrainian President Volodymyr Zelensky says he is staying put in Kyiv even with Russian troops just 25 kilometers from the capital. An analyst says Russia could be looking to eliminate anyone who could potentially mount opposition to a Russian-installed regime.,https://www.cbc.ca/news/world/russia-invade-ukraine-fears-1.6363323,Military Operations,neutral
2022-02-06,"Ignore 'apocalyptic predictions' on possible Russia invasion, urges Ukraine foreign minister","President Volodymyr Zelensky said a week ago that Ukraine was not a sinking Titanic and accused Washington and the media of fuelling panic that weighed on the economy when there were ""no tanks in the streets.""",https://www.cbc.ca/news/world/russia-ukraine-invasion-apocalyptic-predictions-1.6341599,Russia-Related Rhetoric,neutral
2022-01-11,"Trudeau, Ukrainian president talk sanctions, extending training mission to deter Russian military",Ukrainian President Volodymyr Zelensky and Prime Minister Justin Trudeau today discussed extending Canada's military training mission and the prospect_of more_sanctions on Moscow as Russian troops conducted a live fire exercise on Ukraine's_border.,https://www.cbc.ca/news/politics/ukraine-russia-zelensky-trudeau-putin-donbass-1.6311266,Diplomatic Engagements,neutral
