date,title,shortopening,url,label,sentiment
2022-06-12,"French, German and Italian Leaders to Meet With Zelensky in Kyiv","Macron, Scholz and Draghi plan trip amid Russia__ advances in eastern Ukraine.",https://www.wsj.com/world/europe/russia-shells-chemical-plant-sheltering-civilians-ukraine-says-11655031115,Diplomatic Engagements,neutral
2024-09-29,Zelensky Visited U.S. to Seek War Boost. His Most Important Ally Shrugged.,Ukraine is losing ground and needs more U.S. support.,https://www.wsj.com/world/europe/zelensky-visited-u-s-to-seek-war-boost-his-most-important-ally-shrugged-d7ba76e7,Aid Policies,negative
2023-02-09,Zelensky Calls for More Help for Ukraine in EU Meeting,"President Volodymyr Zelensky took his campaign for more military aid to a summit of European Union leaders, where he also sought to advance Ukraine__ EU membership bid.",https://www.wsj.com/articles/zelensky-calls-for-more-help-for-ukraine-in-eu-meeting-11675950731,Aid Policies,neutral
2023-09-20,"Zelensky, Ukraine__ War Messenger, Confronts a More Wary Washington",The Ukrainian president is set to meet U.S. lawmakers for questions about aid and Kyiv__ slow advance against Russian forces.,https://www.wsj.com/politics/national-security/zelensky-ukraines-war-messenger-confronts-a-more-wary-washington-85134d73,Media Representation,neutral
2023-07-02,Ukraine__ Zelensky Says He Will Beat Russia by Holding On to His Humanity,"Zelensky spoke about remaining grounded, projecting strength and refusing talks with Russia.",https://www.wsj.com/world/ukraines-zelensky-seeks-to-stay-strongand-human-5b2608e,Russia-Related Rhetoric,neutral
2023-05-11,Zelensky Urges Caution on Timing of Counteroffensive as Ukraine Advances in Bakhmut,Zelensky said more time was needed before launching a counteroffensive to recapture occupied territory.,https://www.wsj.com/world/zelensky-says-ukraine-needs-more-time-before-launching-counteroffensive-55b36d6d,Military Operations,neutral
2022-07-17,"Zelensky Removes Ukraine__ General Prosecutor, Head of Secret Service",Dismissals came amid allegations of collaboration with Russia inside key offices.,https://www.wsj.com/world/europe/russian-strikes-intensify-as-moscow-aims-to-tighten-grip-on-donbas-11658059249,Domestic Governance,neutral
2022-12-12,Zelensky and Biden Discuss Ukraine__ Grid as Country Scrambles to Restore Power,"Ukraine rushed to restore power supplies after Russian attacks, while Zelensky spoke with Biden amid diplomacy.",https://www.wsj.com/articles/zelensky-and-biden-discuss-ukraines-grid-as-country-scrambles-to-restore-power-11670848620,Economic Structure,neutral
2022-04-23,"Antony Blinken and Lloyd Austin to Visit Ukraine, President Zelensky Says",Visit would be highest-level appearance by U.S. officials since war began.,https://www.wsj.com/world/europe/zelensky-warns-that-russian-ambitions-dont-end-with-ukraine-11650704243,Media Representation,neutral
2022-06-01,"Ukraine Won__ Attack Russian Territory, Zelensky Says",Zelensky said long-range weapons wouldn__ lead Ukraine to strike Russia.,https://www.wsj.com/world/europe/ukraines-zelensky-rejects-trading-land-for-peace-with-russia-11654072526,Russia-Related Rhetoric,neutral
2022-12-22,Zelensky Deserves More U.S. Support,The U.S. would be worse off if Putin had conquered Ukraine.,https://www.wsj.com/articles/volodymyr-zelensky-goes-to-washington-ukraine-vladimir-putin-russia-war-biden-administration-11671661698,Media Representation,positive
