date,title,short_opening,url,label,sentiment
2022-03-05,Zelensky 'desperate' plea to U.S. Congress: Send more planes,"WASHINGTON � Fighting for his country's survival, Ukraine's leader made a ""desperate"" plea Saturday to American lawmakers for the United States to help get more warplanes to his military and cut off Russian oil imports as Kyiv tries to stave off the Russian invasion.",https://www.ctvnews.ca/world/article/zelensky-desperate-plea-to-us-congress-send-more-planes/,Aid Policies,negative
2022-03-03,Comedy series starring Zelensky gets boost in popularity,"LONDON � Countries are snapping up the rights to �Servant of the People� � a comedy series starring the Ukrainian President, as the Ukrainian President.",https://www.ctvnews.ca/lifestyle/entertainment/article/comedy-series-starring-zelensky-gets-boost-in-popularity/,Media Representation,positive
2022-03-03,Live updates: Zelensky talks to leaders about nuclear plant,"Ukrainian President Volodymyr Zelensky say he has informed the leaders of the U.S., Britain, the European Union and the International Atomic Energy Agency about the dire threat of nuclear disaster after Russian troops shelled a nuclear power plant.",https://www.ctvnews.ca/world/article/live-updates-zelensky-talks-to-leaders-about-nuclear-plant/,Diplomatic Engagements,neutral
2022-03-01,"Through memes and videos, Zelensky emerges as pop culture hero","The Russian-Ukrainian conflict is a war unfolding in real time � and in an era of social media, memes and viral videos are helping define Ukrainian President Volodymyr Zelensky.",https://www.ctvnews.ca/montreal/article/through-memes-and-videos-zelensky-emerges-as-pop-culture-hero-in-the-social-media-age/,Media Representation,positive
2022-02-26,Zelensky refuses U.S. offer to evacuate,"Ukrainian President Volodymyr Zelensky has turned down an offer from the United States of evacuation from the capital city Kyiv, the Ukraine embassy in Britain said Saturday on Twitter.",https://www.ctvnews.ca/world/article/zelensky-refuses-us-offer-to-evacuate-saying-i-need-ammunition-not-a-ride/,Media Representation,positive
2022-02-25,Defiant Zelensky releases video with top Ukrainian officials,"As Russian forces reportedly make their way to the Ukrainian capital city of Kyiv, President Volodymyr Zelensky has released a video with top Ukrainian officials vowing to stay in the city, despite previously saying he was Russia�s �number-one target.�",https://www.ctvnews.ca/world/article/defiant-zelensky-releases-video-with-top-ukrainian-officials-as-russians-move-on-kyiv/,Media Representation,positive
2022-02-24,Volodymyr Zelensky: from TV actor to president,"Although Ukrainian President Volodymyr Zelensky is allegedly on a Russian �kill list� according to U.S. intelligence, the once-political novice has vowed to stay in Kyiv as the Russian attack continues.",https://www.ctvnews.ca/world/article/ukrainian-president-volodymyr-zelensky-from-tv-actor-to-president/,Media Representation,positive
2021-04-08,Ukraine's Zelensky on frontline as Merkel urges Putin to pull back troops,"Kyiv, Ukraine � Ukrainian President Volodymyr Zelensky travelled to the country's eastern frontline on Thursday, as German Chancellor Angela Merkel urged Vladimir Putin to reduce Russia's troop buildup near Ukraine.",https://www.ctvnews.ca/world/article/ukraines-zelensky-on-frontline-as-merkel-urges-putin-to-pull-back-troops/,Military Operations,positive
2020-11-09,Ukraine's Zelensky tests positive for coronavirus,"Kyiv, Ukraine � Ukrainian President Volodymyr Zelensky said Monday he tested positive for the novel coronavirus but felt fine as infections surged in the country.",https://www.ctvnews.ca/lifestyle/article/ukraines-zelensky-tests-positive-for-coronavirus/,Media Representation,neutral
2020-01-14,"Zelensky says he, Trudeau talk crash punishment, as Iran announces arrests","OTTAWA � Ukraine's President Volodymyr Zelensky says he and Prime Minister Justin Trudeau have discussed the need to ""punish"" the Iranians responsible for the downing of the Ukrainian airliner near Tehran last week that killed 176 people.",https://www.ctvnews.ca/canada/article/zelensky-says-he-trudeau-talk-crash-punishment-as-iran-announces-arrests/,Diplomatic Engagements,neutral
