date,title,short_opening,url,label,sentiment
2025-08-16,"Trump, Zelenskyy to meet at White House after Alaska summit with Putin fell short","ANCHORAGE, Alaska  President Trump said he will meet with Ukrainian President Volodymyr Zelenskyy at the White House on Monday to talk about how to end Russia's war on Ukraine, a follow-up meeting to Trump's summit with Russia's Vladimir Putin that failed to yield a ceasefire.",https://www.npr.org/2025/08/16/nx-s1-5504593/world-reacts-trump-putin-summit,Diplomatic Engagements,neutral
2025-08-16,Ukrainian president Volodymyr Zelenskyy to meet with Trump on Monday,"Ukraine's President Volodymyr Zelenskyy will be meeting President Trump at the White House on Monday. However, Trump suggests he favors Vladimir Putin's approach to dealing with the war in Ukraine.",https://www.npr.org/2025/08/16/nx-s1-5503711/ukrainian-president-volodymyr-zelenskyy-to-meet-with-trump-on-monday,Diplomatic Engagements,negative
2025-08-13,Zelenskyy: Trump pursuing Ukraine ceasefire at Putin summit,Rob Schmitz German Chancellor Friedrich Merz (left) welcomes Ukrainian President Volodymyr Zelenskyy in Berlin on Aug. 13.,https://www.npr.org/2025/08/13/nx-s1-5500525/zelenskyy-trump-putin-ceasefire-ukraine-summit,Diplomatic Engagements,neutral
2025-08-13,Zelenskyy in Berlin for critical talks with European leaders and Trump,"INKOO, Finland  Ukraine's President has arrived in Berlin ahead of a series of high stakes European summits on Wednesday. Volodymyr Zelenskyy was met by German Chancellor Friedrich Merz ahead of a series of urgent meetings aimed at bolstering support for Ukraine  and building influence with President Donald Trump before his meeting Friday with Russian President Vladimir Putin.",https://www.npr.org/2025/08/13/nx-s1-5500465/european-leaders-to-hold-emergency-virtual-summit-with-trump-on-wednesday,Diplomatic Engagements,neutral
2025-08-10,"Trump-Putin to hold summit to discuss peace deal, Zelenskyy says he won't attend","President Trump says he'll meet President Putin in Alaska on Friday. To get a peace deal, President Trump has indicated some territory needs to be ""switched."" We look to Ukraine for reaction.",https://www.npr.org/2025/08/10/nx-s1-5497232/trump-putin-to-hold-summit-to-discuss-peace-deal-zelenskyy-says-he-wont-attend,Diplomatic Engagements,neutral
2025-08-09,"With summit looming, Ukraine's Zelenskyy says he won't give land to Russia","Greg Myre Ukrainian President Volodymyr Zelenskyy speaks at a press conference as Denmark launches their EU presidency at Marselisborg Castle on July 3, 2025 in Aarhus, Denmark.",https://www.npr.org/2025/08/09/g-s1-81860/zelenskyy-rejects-ceding-ukrainian-territory,Russia-Related Rhetoric,neutral
2025-07-24,"After protests, Zelenskyy says he'll restore Ukraine's anti-corruption agencies",Joanna Kakissis Ukrainian president Volodymyr Zelenskyy says he will restore the independence of the country's anti-corruption watchdogs after protests over a controversial law that would bring the agencies under government control.,https://www.npr.org/2025/07/24/nx-s1-5477347/after-protests-zelenskyy-says-hell-restore-ukraines-anti-corruption-agencies,Domestic Governance,positive
2025-07-05,Zelenskyyasks Trump for air defense munitions amid escalating Russian airstrikes,Ukraine is facing a summer of escalating Russian airstrikes on its cities. The Ukrainian President has called on the U.S. to provide more air defense systems.,https://www.npr.org/2025/07/05/nx-s1-5455770/zelenskyy-asks-trump-for-air-defense-munitions-amid-escalating-russian-airstrikes,Aid Policies,neutral
2025-05-18,"Zelenskyymeets Vance in Rome, hours after Russia's largest drone attack on Ukraine","KYIV, Ukraine  Ukrainian President Volodymyr Zelenskyy met with top U.S. officials and European leaders in Rome on Sunday, part of stepped-up diplomatic efforts ahead of a high-stakes phone call Monday between U.S. President Donald Trump and Russian President Vladimir Putin on ending the war in Ukraine.",https://www.npr.org/2025/05/18/nx-s1-5402815/zelenskyy-meets-vance-in-rome-hours-after-russias-largest-drone-attack-on-ukraine,Diplomatic Engagements,neutral
2025-05-14,Zelenskyyasks for Pope Leo XIV's help in bringing Ukrainian children home from Russia,"Ukrainian President Volodymyr Zelenskyy appealed to Pope Leo XIV, asking the new pope for help in bringing home children deported from Ukraine to Russia.",https://www.npr.org/2025/05/14/g-s1-66425/zelenskyy-asks-for-pope-leo-xivs-help-in-bringing-ukrainian-children-home-from-russia,Diplomatic Engagements,neutral
