date,title,url
2022-05-23,"Zelensky calls for maximum Russian sanctions, UN diplomat resigns",https://www.cbc.ca/news/thenational/zelensky-calls-for-maximum-russian-sanctions-un-diplomat-resigns-1.6463563
2022-05-20,"Uncertainty for Mariupol troops, Russia steps up assault in Eastern Ukraine",https://www.cbc.ca/news/thenational/uncertainty-for-mariupol-troops-russia-steps-up-assault-in-eastern-ukraine-1.6462070
2022-05-16,Ukrainian forces claim they've advanced to Russian border near Kharkiv,https://www.cbc.ca/news/world/ukrainian-forces-claim-they-ve-advanced-to-russian-border-near-kharkiv-1.6454905
2022-04-25,Russia bombs Ukrainian railways after U.S. officials visit Zelensky by train,https://www.cbc.ca/news/thenational/russia-bombs-ukrainian-railways-after-u-s-officials-visit-zelensky-by-train-1.6430887
2022-04-22,"Russia rejects ceasefire in Ukraine, civilians carry wounds of warfare",https://www.cbc.ca/news/thenational/russia-rejects-ceasefire-in-ukraine-civilians-carry-wounds-of-warfare-1.6428727
2022-04-13,Ukraine appeals for military equipment ahead of looming Russian assault,https://www.cbc.ca/news/thenational/ukraine-appeals-for-military-equipment-ahead-of-looming-russian-assault-1.6419381
2022-04-11,Ukraine says Russian forces set to launch new offensive in east,https://www.cbc.ca/news/world/ukraine-says-russian-forces-set-to-launch-new-offensive-in-east-1.6415731
2022-04-05,"Zelensky describes Bucha atrocities, shows graphic video in blunt UN speech",https://www.cbc.ca/news/thenational/zelensky-describes-bucha-atrocities-shows-graphic-video-in-blunt-un-speech-1.6409769
2022-04-05,Zelensky urges UN Security Council — paralyzed by the veto power —  to reform itself,https://www.cbc.ca/news/politics/powerandpolitics/zelensky-urges-un-security-council-paralyzed-by-the-veto-power-to-reform-itself-1.6409828
2022-04-05,"Russian troops committing worst atrocities since Second World War, Zelensky tells UN",https://www.cbc.ca/news/canada/russian-troops-committing-worst-atrocities-since-second-world-war-zelensky-tells-un-1.6409829
2022-04-05,"UN needs to do its job and help make peace, says Ukraine's Zelensky",https://www.cbc.ca/news/world/un-needs-to-do-its-job-and-help-make-peace-says-ukraine-s-zelensky-1.6409019
2022-04-04,"Zelensky visits battered Bucha, fears of widespread civilian massacres",https://www.cbc.ca/news/thenational/zelensky-visits-battered-bucha-fears-of-widespread-civilian-massacres-1.6408444
2022-04-04,Ukraine president denounces Bucha killings as 'genocide',https://www.cbc.ca/news/world/ukraine-president-denounces-bucha-killings-as-genocide-1.6407852
2022-04-04,"Zelensky accuses Russia of 'genocide,' 'war crimes' in Bucha",https://www.cbc.ca/news/world/zelensky-accuses-russia-of-genocide-war-crimes-in-bucha-1.6407654
2022-03-30,Zelensky voices skepticism about Russian pullback from Kyiv,https://www.cbc.ca/news/world/zelensky-voices-skepticism-about-russian-pullback-from-kyiv-1.6402221
2022-03-28,Zelensky offers Ukraine neutrality amid no sign of Russian diplomacy,https://www.cbc.ca/news/thenational/zelensky-offers-ukraine-neutrality-amid-no-sign-of-russian-diplomacy-1.6400764
2022-03-24,Zelensky calls for worldwide protests to mark 1 month of war,https://www.cbc.ca/news/world/zelensky-calls-for-worldwide-protests-to-mark-1-month-of-war-1.6395822
2022-03-23,Zelensky delivers 'unprecedented' address to Japanese parliament,https://www.cbc.ca/news/world/zelensky-delivers-unprecedented-address-to-japanese-parliament-1.6394356
2022-03-23,Ukraine says Russia seized relief workers in convoy to Mariupol,https://www.cbc.ca/news/world/ukraine-says-russia-seized-relief-workers-in-convoy-to-mariupol-1.6394291
2022-03-21,The latest from Kyiv,https://www.cbc.ca/news/the-latest-from-kyiv-1.6392516
2022-03-20,"Ukrainians will 'fight until the end,' Slovenian PM says",https://www.cbc.ca/news/world/ukrainians-will-fight-until-the-end-slovenian-pm-says-1.6391481
2022-03-16,"Zelensky pleads with U.S. Congress for no-fly zone, more aid",https://www.cbc.ca/news/thenational/zelensky-pleads-with-u-s-congress-for-no-fly-zone-more-aid-1.6387739
2022-03-16,Ukrainian President Zelensky says Russia 'more realistic' in talks with Ukraine,https://www.cbc.ca/news/ukrainian-president-zelensky-says-russia-more-realistic-in-talks-with-ukraine-1.6387356
2022-03-16,Zelensky calls for more help in address to U.S. Congress,https://www.cbc.ca/news/world/zelensky-calls-for-more-help-in-address-to-u-s-congress-1.6386899
2022-03-15,"Ukrainian Canadians on Zelensky’s Parliament address, personal war connections",https://www.cbc.ca/news/thenational/ukrainian-canadians-on-zelensky-s-parliament-address-personal-war-connections-1.6386403
2022-03-15,Canadians react to Zelensky’s Parliamentary address,https://www.cbc.ca/news/thenational/canadians-react-to-zelensky-s-parliamentary-address-1.6386386
2022-03-15,Zelensky pleads for more help from Canada as Trudeau blacklisted by Russia,https://www.cbc.ca/news/thenational/zelensky-pleads-for-more-help-from-canada-as-trudeau-blacklisted-by-russia-1.6386387
