date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2025-07-17,"Ukraine to boost domestic arms production to counter Russia__ invasion, says Zelenskyy",Ukraine aims to meet half its military needs with domestic production within months.,https://apnews.com/article/russia-ukraine-war-weapons-patriots-zelenskyy-146ada6ec9ee16d23fc9a6ef1a8039ef,Economic Structure,neutral,zelensky_ap_filtered,,
2025-02-26,Ukraine's Zelenskyy will meet Trump Friday to finish a minerals deal,"KYIV, Ukraine, and WASHINGTON, D.C.  Ukrainian President Volodymyr Zelenskyy says he will meet with President Trump on Friday to sign a preliminary deal giving the United States a share of critical raw materials but wants ""guarantees of peace and security"" in any final agreement. ",https://www.npr.org/2025/02/26/nx-s1-5309488/us-ukraine-critical-minerals-deal-trump-zelenskyy,Economic Structure,neutral,zelensky_npr_filtered,,
2022-09-19,Zelensky Meets With BlackRock Chief to Discuss Reconstruction Fund,The world__ largest asset manager advised Ukraine on how to revive the country__ shattered economy by attracting public and private investment.,,Economic Structure,neutral,zelensky_nytimes_filtered,,
2025-02-23,Ukraine__ Zelensky Wants Better Terms on Minerals Deal Demanded by Trump,,https://www.wsj.com/world/ukraines-zelensky-wants-better-terms-on-minerals-deal-demanded-by-trump-7d3a092f,Economic Structure,neutral,zelensky_wsj_filtered,The Ukrainian president called for security guarantees and better financial terms.,
2022-12-12,Zelensky and Biden Discuss Ukraine__ Grid as Country Scrambles to Restore Power,,https://www.wsj.com/articles/zelensky-and-biden-discuss-ukraines-grid-as-country-scrambles-to-restore-power-11670848620,Economic Structure,neutral,zelensky_wsj_filtered,"Ukraine rushed to restore power supplies after Russian attacks, while Zelensky spoke with Biden amid diplomacy.",
2025-02-21,Zelenskyy now open to deal with Trump over mineral resources,Zelenskyy open to negotiating mineral-rights deal demanded by Trump.,https://www.nbc.com/today/video/zelenskyy-now-open-to-deal-with-trump-over-mineral-resources/NBCN564293789,Economic Structure,neutral,zelensky_nbc_filtered,,
