date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2025-02-28,"Meeting Trump at White House, Zelenskyy hopes for continued aid in war with Russia","Joanna Kakissis Trump and Ukraine's President Volodymyr Zelenskyy shake hands during their meeting at Trump Tower, Sept. 27, 2024, in New York.Julia Demaree Nikhinson/APhide caption",https://www.npr.org/2025/02/28/nx-s1-5312880/trump-zelenskyy-minerals-ukraine-russia,Aid Policies,neutral,zelensky_npr_filtered,,
2025-02-15,Zelenskyy calls for the creation of a European army at the Munich Security Conference,Members of the Trump administration speaking at the Munich Security Conference this weekend pressed Ukraine on concessions to end the war. We look at the view from Kyiv on their demands.,https://www.npr.org/2025/02/15/nx-s1-5298156/zelenskyy-calls-for-the-creation-of-a-european-army-at-the-munich-security-conference,Aid Policies,neutral,zelensky_npr_filtered,,
2024-04-17,Zelenskyysays Ukraine deserves the same military help Israel received against Iran,President Zelenskyy urges allies to show Ukraine the same support they gave Israel in repelling Iran's aerial attack. The U.S. and allies helped Israel take down some 300 Iranian drones and missiles.,https://www.npr.org/2024/04/17/1245238031/zelenskyy-says-ukraine-deserves-the-same-military-help-israel-received-against-i,Aid Policies,neutral,zelensky_npr_filtered,,
2024-03-31,Politics chat:Zelenskyyappeals for aid; Robert F. Kennedy Jr names running mate,"Ukrainian Pres. Volodymyr Zelenskyy is again appealing for U.S. aid, and Congress seems more receptive now than it has been recently.",https://www.npr.org/2024/03/31/1241888287/politics-chat-zelenskyy-appeals-for-aid-robert-f-kennedy-jr-names-running-mate,Aid Policies,positive,zelensky_npr_filtered,,
2024-01-16,Zelenskyy takes center stage in Davos as he tries to rally support for Ukraine,"DAVOS, Switzerland  Ukrainian President Volodymyr Zelenskyy is headlining a frenzied first full day of the World Economic Forum's annual meeting in the Swiss ski resort of Davos, where top officials from the United States, the European Union, China, the Middle East and beyond will also be prominent Tuesday.",https://www.npr.org/2024/01/16/1224878809/zelenskyy-takes-center-stage-in-davos-as-he-tries-to-rally-support-for-ukraine,Aid Policies,neutral,zelensky_npr_filtered,,
2023-12-12,Ukraine's Zelenskyy visits Washington for a last-ditch effort to secure U.S. aid,Deirdre Walsh Ukraine's president is making a last-ditch trip to Washington to try to convince Congress to give more weapons and aid for his fight against Russia.,https://www.npr.org/2023/12/12/1218876418/ukraines-zelenskyy-visits-washington-for-a-last-ditch-effort-to-secure-u-s-aid,Aid Policies,negative,zelensky_npr_filtered,,
2023-12-12,Ukrainian President Zelenskyy is in Washigton to make plea to Congress for funding,"Ukrainian President Volodymyr Zelenskyy comes to Washington to meet President Biden. Together, they'll make a last-ditch plea to Congress for aid as funding has stalled.",https://www.npr.org/2023/12/12/1218694343/ukrainian-president-zelenskyy-is-in-washigton-to-make-plea-to-congress-for-fundi,Aid Policies,neutral,zelensky_npr_filtered,,
2023-12-12,Zelenskyy is making a last-ditch push to get more U.S. weapons and aid for Ukraine,Ukrainian President Volodymyr Zelenskyy was in Washington on Tuesday to make a last-ditch push to convince Congress to approve more U.S. weapons and aid for his country in order to push back against Russia's invasion.,https://www.npr.org/2023/12/12/1218588127/zelenskyy-ukraine-funding-biden,Aid Policies,negative,zelensky_npr_filtered,,
2023-12-12,Zelenskyy's Pitch for More American Dollars,Ukraine's President Volodymyr Zelenskyy holding a US flag given to him by then House Speaker Nancy Pelosi (D-CA). Nearly a year later he's back in Washington to ask lawmakers for more aid.Mandel Ngan/AFP via Getty Imageshide caption Ukraine's President Volodymyr Zelenskyy holding a US flag given to him by then House Speaker Nancy Pelosi (D-CA). Nearly a year later he's back in Washington to ask lawmakers for more aid.,https://www.npr.org/2023/12/12/1198909490/zelenskyys-pitch-for-more-american-dollars,Aid Policies,neutral,zelensky_npr_filtered,,
2023-12-11,"Seeking more U.S. aid, Ukrainian PresidentZelenskyywill visit Washington",Deirdre Walsh Ukrainian President Zelensky is coming to Washington Tuesday to make a plea for Congress to approve more money to help in the country's war against Russia.,https://www.npr.org/2023/12/11/1218643432/seeking-more-u-s-aid-ukrainian-president-zelenskyy-will-visit-washington,Aid Policies,neutral,zelensky_npr_filtered,,
2023-12-11,Biden invitesZelenskyyto the White House as he pushes for more aid for Ukraine,Franco Ordoñez President Biden has invited Ukrainian President Volodymyr Zelenskyy to the White House on Tuesday as a show of commitment while Congress debates funding for the war.,https://www.npr.org/2023/12/11/1218495115/biden-invites-zelenskyy-to-the-white-house-as-he-pushes-for-more-aid-for-ukraine,Aid Policies,neutral,zelensky_npr_filtered,,
2023-09-22,Zelenskyyreaches out to the U.S. for more aid to help end Russia's invasion,Ukrainian President Volodymyr Zelenskyy tells NPR's Steve Inskeep that additional foreign aid is necessary to beat back Russia's ambitions to expand across Europe.,https://www.npr.org/2023/09/22/1200998415/zelenskyy-reaches-out-to-the-u-s-for-more-aid-to-help-end-russias-invasion,Aid Policies,neutral,zelensky_npr_filtered,,
2023-09-22,Zelenskyyarrives in Canada to speak before Parliament and boost support for Ukraine,Ukrainian President Volodymyr Zelenskyy will speak to the Canadian Parliament on Friday as part of his campaign to bolster support from Western allies for Ukraine's war against the Russian invasion.,https://www.npr.org/2023/09/22/1200993256/zelenskyy-canada-speak-parliament-to-boost-support,Aid Policies,neutral,zelensky_npr_filtered,,
