date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2022-06-18,Zelensky Visits War-Torn Mykolaiv and Odesa in Southern Ukraine,The president__ trip aimed to highlight Ukraine__ grip on the area and to lift the spirits of an embattled populace.,,Military Operations,positive,zelensky_nytimes_filtered,,
2023-04-19,Zelensky and Putin Make Dueling Trips to Front Line in Ukraine,The visits by the Ukrainian and Russian leaders came as both sought to display strength and confidence ahead of an anticipated Kyiv counteroffensive.,,Military Operations,positive,zelensky_nytimes_filtered,,
2022-11-11,Zelensky says dozens of towns and villages in the Kherson region have been retaken.,"Russia__ announcement this week that it was retreating from parts of the Kherson region has been cast in doubt, as events have been obfuscated by the fog of war and concern rose in Kyiv that the Kremlin might be bluffing in an effort to draw Ukrainian troops into a trap.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2022-11-13,"Zelensky calls the fighting in Donetsk __ell,_ a sobering view after the recapture of Kherson.",Some military analysts said that the recapture of Kherson might enable Ukraine to shift forces as well as artillery east to Donetsk.,,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-11-01,Frustrated Zelensky Says Ukraine__ War Effort Is Being Underestimated,"As U.S. officials warned senators against halting military aid, President Volodymyr Zelensky said his troops_ achievements were __erceived as a given._",,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-05-11,"Zelensky, Citing Equipment Gaps, Says It__ Too Soon for Counteroffensive","Ukraine__ president played down the chance of an imminent military move, but the claim was greeted with some skepticism.",,Military Operations,negative,zelensky_nytimes_filtered,,
2023-06-08,Kherson is hit by Russian shelling hours after a Zelensky visit.,"Ukraine__ interior ministry said that eight people were injured in an attack near an evacuation point where medics, emergency workers and rescue teams have been gathering.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-06-10,Zelensky Signals Ukraine__ Counteroffensive Has Begun,"As waters from the flooding of a burst dam began to recede, Ukrainian forces were trying to break through stout Russian defenses in the south and east.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2024-08-15,"Ukraine Captures Russian Town, Zelensky Says","The fall of Sudzha, about six miles from the border, would be Ukraine__ first capture of a Russian town since its troops crossed into Russian territory 10 days ago.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2024-08-24,"On Ukraine__ Independence Day, Zelensky Celebrates Push Into Russia","Although the cross-border offensive carries risks, it also paid dividends on Saturday with the first prisoner swap with Russia in several months.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-12-19,"Zelensky, After Tough Year on Battlefield, Insists Ukraine Will Prevail","Ukraine__ counteroffensive sputtered, but President Volodymyr Zelensky argued that Russia, too, __ailed to achieve any results_ on the ground, while Ukraine had successes at sea.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-07-06,Zelensky said he warned allies the counteroffensive would proceed slowly amid the wait for weapons.,"Ukraine__ president said he had wanted to start the military push sooner, in an interview with CNN.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-07-15,"Russian Forces Are Doing __verything They Can_ to Stop Counteroffensive, Zelensky Says","The Ukrainian leader has secured new weapons pledges, but it was not clear when the aid would arrive, or how consequential it would be on the battlefield.",,Military Operations,positive,zelensky_nytimes_filtered,,
2022-04-23,"As Western Arms Pour Into Ukraine, Zelensky Promises Victory","__he day when they will be forced to leave Ukraine is approaching,_ the Ukrainian president said of the Russians, in a sharp change of tone.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2024-02-25,"31,000 Ukrainian Soldiers Killed in Two Years of War, Zelensky Says","The tally that President Volodymyr Zelensky revealed on Sunday differs sharply from that given by U.S. officials, who have said the number is closer to 70,000.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2022-09-14,"Zelensky Visits a City Just Miles From the Front, Underscoring Ukraine__ Gains",President Volodymyr Zelensky__ trip to a city reclaimed days ago demonstrated Ukraine__ growing boldness in the wake of Russia__ frantic retreat from the country__ northeast.,,Military Operations,positive,zelensky_nytimes_filtered,,
2022-06-25,"Russian forces now control Severodonetsk, but Zelensky vows Ukraine will re-take lost cities","Russian forces_seized full control of the Eastern Ukrainian city of Severodonetsk_on Saturday, confirming_Kyiv's biggest battlefield setback for more than a month,_after_weeks of some of the war's bloodiest fighting.",https://www.cbc.ca/news/world/ukraine-invasion-day-122-1.6501640,Military Operations,neutral,zelensky_cbc_filtered,,
2022-06-02,"Russia currently occupying about 20% of Ukraine, Zelensky says","Russia tightened its grip on a key target in a battle for control of Ukraine's eastern Donbas region while Ukrainian President Volodymyr Zelensky pleaded for more Western arms to help Ukraine reach a battlefield ""inflection point"" and prevail in the war.",https://www.cbc.ca/news/world/ukraine-invasion-day-99-1.6474758,Military Operations,neutral,zelensky_cbc_filtered,,
2022-05-13,Zelensky hopeful Ukraine's forces making progress as battle for the Donbas rages,"In his nightly address Friday, Ukrainian President Volodymyr Zelensky said no one can predict how long the war will last but that his country's forces have been making progress, including retaking six Ukrainian towns or villages in the past day.",https://www.cbc.ca/news/world/ukraine-russia-war-crimes-trial-1.6451907,Military Operations,neutral,zelensky_cbc_filtered,,
2022-04-18,"Russia launches 'battle for the Donbas' in Eastern Ukraine, Zelensky says",Ukrainian President Volodymyr Zelensky says Russia has begun its offensive to take control of Eastern Ukraine.,https://www.cbc.ca/news/world/ukraine-russia-war-1.6422392,Military Operations,neutral,zelensky_cbc_filtered,,
2022-04-15,"At least 2,500 Ukrainian troops have died since Russia invaded, Zelensky says","Ukrainian President Volodymyr Zelensky_said Friday that between 2,500 and 3,000 Ukrainian troops have died in the war with Russia and another 10,000 have been injured.",https://www.cbc.ca/news/world/ukraine-russia-invasion-april-15-1.6421111,Military Operations,neutral,zelensky_cbc_filtered,,
2022-04-10,Zelensky says next few days of war are crucial as Ukraine braces for new Russian offensive,"Ukrainian_President Volodymyr Zelensky warned his nation Sunday night that the coming week would be as crucial as any in the war, adding in his nightly address that he expects Russian troops to ""move to even larger operations in the east of our state.""",https://www.cbc.ca/news/world/ukraine-russia-war-crimes-1.6415015,Military Operations,neutral,zelensky_cbc_filtered,,
2022-04-02,Zelensky alleges Russian troops leaving booby traps behind as Ukraine regains area near Kyiv,"Ukrainian troops moved cautiously to retake territory north of the country's capital on Saturday, using cables to pull the bodies of civilians off the streets in one town out of fear that Russian forces might have booby-trapped them before leaving.",https://www.cbc.ca/news/world/ukraine-russia-war-april2-2022-1.6406411,Military Operations,neutral,zelensky_cbc_filtered,,
2022-03-28,"Russian forces still attacking Kyiv as Ukraine takes back some areas, says Zelensky","Ukrainian President Volodymyr Zelensky_said late Monday that Russian forces are still attacking Kyiv, despite being driven out of Irpin, a suburb northwest of the capital that has seen heavy fighting.",https://www.cbc.ca/news/world/ukraine-russia-war-march28-1.6399653,Military Operations,neutral,zelensky_cbc_filtered,,
2022-02-24,"As Russia attacks Ukraine on multiple fronts, some fear Zelensky's government is next target",Ukrainian President Volodymyr Zelensky says he is staying put in Kyiv even with Russian troops just 25 kilometers from the capital. An analyst says Russia could be looking to eliminate anyone who could potentially mount opposition to a Russian-installed regime.,https://www.cbc.ca/news/world/russia-invade-ukraine-fears-1.6363323,Military Operations,neutral,zelensky_cbc_filtered,,
2021-04-08,Ukraine's Zelensky on frontline as Merkel urges Putin to pull back troops,"Kyiv, Ukraine  Ukrainian President Volodymyr Zelensky travelled to the country's eastern frontline on Thursday, as German Chancellor Angela Merkel urged Vladimir Putin to reduce Russia's troop buildup near Ukraine.",https://www.ctvnews.ca/world/article/ukraines-zelensky-on-frontline-as-merkel-urges-putin-to-pull-back-troops/,Military Operations,positive,zelensky_ctv_filtered,,
2024-09-04,"Ukraine__ Zelensky Launches Government Overhaul for Fresh Military, Diplomatic Push",,https://www.wsj.com/world/ukraines-foreign-minister-resigns-in-government-reshuffle-17769aab,Military Operations,neutral,zelensky_wsj_filtered,Several ministers resigned as Zelensky reorganizes government for war goals.,
2023-05-11,Zelensky Urges Caution on Timing of Counteroffensive as Ukraine Advances in Bakhmut,,https://www.wsj.com/world/zelensky-says-ukraine-needs-more-time-before-launching-counteroffensive-55b36d6d,Military Operations,neutral,zelensky_wsj_filtered,Zelensky said more time was needed before launching a counteroffensive to recapture occupied territory.,
2022-05-30,Ukraine president Zelenskyy makes risky visit to the frontlines,Zelenskyy visits frontline positions despite ongoing conflict.,https://www.nbc.com/today/video/ukraine-president-zelenskyy-makes-risky-visit-to-the-frontlines/NBCN187813789,Military Operations,positive,zelensky_nbc_filtered,,
