date,title,label,short_opening,url
2023-04-26,"Can China sway Russia on Ukraine invasion? Xi, Zelenskyy hold 1st phone call",Diplomatic Engagements,"The phone call, which officials said lasted nearly an hour, is believed to be a significant development in efforts to resolve the conflict between Russia and Ukraine.",https://globalnews.ca/news/9651859/china-ukraine-xi-zelenskyy-phone-call-russia/
2023-03-10,"Canada pushing China to include Ukraine in talks with Russia to end war, Joly says",Diplomatic Engagements,"Canada's foreign minister says she has asked her Chinese counterpart to have his country's president, Xi Jinping, speak with Ukrainian President Volodymyr Zelenskyy.",https://globalnews.ca/news/9543311/ukraine-russia-china-peace-talks-joly/
2023-02-26,"Ukraine__ Zelenskyy fires senior military commander, no reason given",Domestic Governance,"In a one-line decree, Zelenskyy announced the dismissal of Eduard Moskalyov as commander of the joint forces of Ukraine, which are engaged in battles in the Donbas region.",https://globalnews.ca/news/9512994/ukraine-volodymyr-zelenskyy-military-commander/
2023-02-24,Brad Paisley drops song feat. Zelenskyy on 1st anniversary of Russian invasion,Media Representation,"Brad Paisley released a new song entitled_'Same Here' featuring Ukrainian President Volodymyr Zelenskyy_Friday, marking one year since Russia initiated war in Ukraine.",https://globalnews.ca/news/9509684/brad-paisley-volodymyr-zelenskyy-same-here-war-1-year/
2023-02-24,Ukraine__ Zelenskyy vows victory on first anniversary of Russian invasion,Russia-Related Rhetoric,President Volodymyr Zelenskyy used the Feb. 24 anniversary to congratulate Ukrainians on their resilience in the face of Europe's biggest and deadliest war since World War II.,https://globalnews.ca/news/9508653/ukraine-russia-war-anniversary-zelenskyy-address/
2023-02-04,Ukraine__ Zelenskyy revokes citizenship of numerous former politicians,Domestic Governance,"President Volodymyr Zelenskyy revoked the citizenship of several former influential politicians in the latest of steps to ""cleanse"" the country from pro-Russian influences.",https://globalnews.ca/news/9461001/ukraines-zelenskyy-revokes-citizenship-of-numerous-former-politicians/
2023-01-22,Russia warns West of __lobal catastrophe_ for arming Ukraine,Russia-Related Rhetoric,The speaker of the lower house of Russia's parliament warned Sunday that countries supplying Ukraine with more powerful weapons risked their own destruction.,https://globalnews.ca/news/9428459/russia-ukraine-west-arming/
2023-01-21,Ukraine war: Zelenskyy honours those killed in helicopter crash,Media Representation,"At the somber service in Kyiv, Zelenskyy and his wife laid flowers on each of the seven coffins draped in the blue and yellow flags of Ukraine.",https://globalnews.ca/news/9426901/ukraine-war-zelenskyy-helicopter-crash/
2023-01-10,Zelenskyy thanks Trudeau for donating air defence system to Ukraine,Aid Policies,"The NASAM is a medium-range ground-based air defence system that protects against drone, missile and aircraft attack with a high success rate.",https://globalnews.ca/news/9400363/ukraine-canada-air-defence-system/
2023-01-03,"Trudeau speaks with Zelenskyy from Jamaica, appears to back Ukraine __eace formula_",Diplomatic Engagements,Justin Trudeau and Volodymyr Zelenskyy discussed Canada's continued commitment to providing military and humanitarian aid to Ukraine as Russia's invasion nears the one-year mark.,https://globalnews.ca/news/9385420/ukraine-trudeau-zelenskyy-jamaica-peace/
